wwtp,part.class,bin,count,level,bin_left,bin_right,bin_mid
south,8,2,757,Pipe,0.1,0.15000000000000002,0.125
south,5,9,3964,Pipe,0.45,0.5,0.47500000000000003
south,7,2,1649,Pipe,0.1,0.15000000000000002,0.125
south,8,9,871,Pipe,0.45,0.5,0.47500000000000003
west,5,2,2172,Pipe,0.1,0.15000000000000002,0.125
west,6,7,855,Pipe,0.35000000000000003,0.4,0.375
south,5,5,4001,Pipe,0.25,0.30000000000000004,0.275
south,5,6,3701,Pipe,0.30000000000000004,0.35000000000000003,0.325
west,8,7,235,Pipe,0.35000000000000003,0.4,0.375
west,8,16,1137,Pipe,0.8,0.8500000000000001,0.8250000000000001
west,3,4,2443,Pipe,0.2,0.25,0.225
west,8,17,1228,Pipe,0.8500000000000001,0.9,0.875
north,1,11,15279,Pipe,0.55,0.6000000000000001,0.5750000000000001
north,7,3,7667,Pipe,0.15000000000000002,0.2,0.17500000000000002
north,7,7,10284,Pipe,0.35000000000000003,0.4,0.375
north,8,8,5644,Pipe,0.4,0.45,0.42500000000000004
north,1,9,17745,Pipe,0.45,0.5,0.47500000000000003
north,6,4,20575,Pipe,0.2,0.25,0.225
north,1,7,24081,Pipe,0.35000000000000003,0.4,0.375
west,1,19,6718,Pipe,0.9500000000000001,1,0.9750000000000001
west,8,15,1060,Pipe,0.75,0.8,0.775
west,7,9,749,Pipe,0.45,0.5,0.47500000000000003
west,8,18,2024,Pipe,0.9,0.9500000000000001,0.925
west,6,6,832,Pipe,0.30000000000000004,0.35000000000000003,0.325
west,6,16,2832,Pipe,0.8,0.8500000000000001,0.8250000000000001
west,2,9,2421,Pipe,0.45,0.5,0.47500000000000003
west,3,17,4787,Pipe,0.8500000000000001,0.9,0.875
west,3,16,3976,Pipe,0.8,0.8500000000000001,0.8250000000000001
west,7,11,854,Pipe,0.55,0.6000000000000001,0.5750000000000001
west,5,16,3485,Pipe,0.8,0.8500000000000001,0.8250000000000001
west,7,16,1196,Pipe,0.8,0.8500000000000001,0.8250000000000001
west,6,5,937,Pipe,0.25,0.30000000000000004,0.275
west,8,14,1007,Pipe,0.7000000000000001,0.75,0.7250000000000001
west,3,12,2954,Pipe,0.6000000000000001,0.65,0.625
west,2,12,3037,Pipe,0.6000000000000001,0.65,0.625
west,4,12,2539,Pipe,0.6000000000000001,0.65,0.625
west,1,18,3568,Pipe,0.9,0.9500000000000001,0.925
