wwtp,bin,count,bin_left,bin_right,bin_mid,mean_value,median_value,scenario
south,11,12923,0.55,0.6000000000000001,0.5750000000000001,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,9,38781,0.45,0.5,0.47500000000000003,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,2,35846,0.1,0.15000000000000002,0.125,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,5,18780,0.25,0.30000000000000004,0.275,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,8,28767,0.4,0.45,0.42500000000000004,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,4,17887,0.2,0.25,0.225,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,10,21807,0.5,0.55,0.525,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,16,8139,0.8,0.8500000000000001,0.8250000000000001,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,18,5075,0.9,0.9500000000000001,0.925,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,15,9886,0.75,0.8,0.775,0.18707079442995755,0.05776392926312057,Skewed (Base)
south,17,5927,0.8500000000000001,0.9,0.875,0.18707079442995755,0.05776392926312057,Skewed (Base)
west,9,13319,0.45,0.5,0.47500000000000003,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,0,156573,0,0.05,0.025,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,1,123611,0.05,0.1,0.07500000000000001,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,2,49237,0.1,0.15000000000000002,0.125,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,5,15535,0.25,0.30000000000000004,0.275,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,11,15671,0.55,0.6000000000000001,0.5750000000000001,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,10,10699,0.5,0.55,0.525,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,13,8848,0.65,0.7000000000000001,0.675,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,6,47208,0.30000000000000004,0.35000000000000003,0.325,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,19,22979,0.9500000000000001,1,0.9750000000000001,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,18,11103,0.9,0.9500000000000001,0.925,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,8,12108,0.4,0.45,0.42500000000000004,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,7,24631,0.35000000000000003,0.4,0.375,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,16,12017,0.8,0.8500000000000001,0.8250000000000001,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,15,10617,0.75,0.8,0.775,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,3,34137,0.15000000000000002,0.2,0.17500000000000002,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,12,13967,0.6000000000000001,0.65,0.625,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,14,8566,0.7000000000000001,0.75,0.7250000000000001,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,17,11180,0.8500000000000001,0.9,0.875,0.2659913466371746,0.1137016534473656,Skewed (Base)
west,4,15994,0.2,0.25,0.225,0.2659913466371746,0.1137016534473656,Skewed (Base)
north,4,251585,0.2,0.25,0.225,0.20983059322244638,0.13292992414369076,Highly Skewed
north,1,1380864,0.05,0.1,0.07500000000000001,0.20983059322244638,0.13292992414369076,Highly Skewed
north,2,962532,0.1,0.15000000000000002,0.125,0.20983059322244638,0.13292992414369076,Highly Skewed
