simulation,location,sample_fraction,effective_surveillance_coverage_percent
95,North,Liquid,55.77555840569238
95,South,Total,88.02473374756198
95,South,Solids,34.68593274291274
95,South,Liquid,56.251010037332186
95,West,Total,83.60633329602094
95,West,Solids,32.134627539578545
95,West,Liquid,55.948353678462325
96,North,Total,80.05203524385679
96,North,Solids,40.351993672781425
96,North,Liquid,41.39142981100985
96,South,Total,88.40314448354876
96,South,Solids,47.45663950511727
96,South,Liquid,41.75012579179963
96,West,Total,84.09494485542021
96,West,Solids,43.822201250681275
96,West,Liquid,41.523052320531384
97,North,Total,80.0051317083519
97,North,Solids,36.751786337664896
97,North,Liquid,47.3279162593623
97,South,Total,88.43726183520064
