simulation,location,sample_fraction,minimum_detectable_prevalence_percent
76,West,Total,0.05987858944832705
76,West,Solids,0.13568556931588233
76,West,Liquid,0.10698971715872327
77,North,Total,0.06891266392994448
77,North,Solids,0.17251507083008447
77,North,Liquid,0.11503089451522827
77,South,Total,0.062424549786572414
77,South,Solids,0.14197531337571953
77,South,Liquid,0.11162934062713885
77,West,Total,0.06192478583206784
77,West,Solids,0.14518844298714373
77,West,Liquid,0.10836423258707123
78,North,Total,0.06470666236742684
78,North,Solids,0.21692867634949387
78,North,Liquid,0.09276554651550781
78,South,Total,0.06016806223891871
78,South,Solids,0.17844236303503258
78,South,Liquid,0.09107247773314303
78,West,Total,0.05980689894135289
78,West,Solids,0.1820331535724394
78,West,Liquid,0.08958296028567975
79,North,Total,0.06887358219820805
79,North,Solids,0.1462983890670978
79,North,Liquid,0.12279741896752235
79,South,Total,0.06136236481699545
79,South,Solids,0.1207882186602844
79,South,Liquid,0.1214948859490819
79,West,Total,0.06180727560178521
79,West,Solids,0.12342026681568448
79,West,Liquid,0.12049832862973671
80,North,Total,0.07009216148261195
80,North,Solids,0.15316385188344986
80,North,Liquid,0.12119181954014857
80,South,Total,0.06176819244063707
80,South,Solids,0.12421602555294235
80,South,Liquid,0.1195768533789314
80,West,Total,0.06224310571091332
80,West,Solids,0.1272991015445197
80,West,Liquid,0.11815957242963618
81,North,Total,0.06947015429069621
81,North,Solids,0.1568679188612132
81,North,Liquid,0.11422775542240232
81,South,Total,0.06135411719537593
81,South,Solids,0.12766257000079564
81,South,Liquid,0.11339818010241925
81,West,Total,0.06196465825877026
81,West,Solids,0.13086137311881593
81,West,Liquid,0.112742097554489
82,North,Total,0.07895543303627413
82,North,Solids,0.1740701570425977
82,North,Liquid,0.14904184118792974
82,South,Total,0.06705360108190306
82,South,Solids,0.14315366417758088
82,South,Liquid,0.13633023122790397
82,West,Total,0.06669006770410445
82,West,Solids,0.14657257774287089
82,West,Liquid,0.12484314367614702
83,North,Total,0.06432680687402319
83,North,Solids,0.185238390222894
83,North,Liquid,0.09625780837925806
83,South,Total,0.0593420880470518
83,South,Solids,0.15447978330113052
83,South,Liquid,0.09537693219183975
83,West,Total,0.059520201878997175
83,West,Solids,0.15773303029848368
83,West,Liquid,0.09467978169559012
84,North,Total,0.06935272157179866
84,North,Solids,0.17709020690884558
84,North,Liquid,0.11164912624104861
84,South,Total,0.062420854438311434
84,South,Solids,0.14676201840919031
84,South,Liquid,0.10817827381794978
84,West,Total,0.06212208579399335
84,West,Solids,0.15028578115251712
84,West,Liquid,0.10485988274766939
85,North,Total,0.06958401656629574
85,North,Solids,0.14268815063842027
85,North,Liquid,0.13521305632054584
85,South,Total,0.06209254009760157
85,South,Solids,0.11719905750315679
85,South,Liquid,0.1319974285320644
85,West,Total,0.06204833630863311
85,West,Solids,0.11974536764500625
85,West,Liquid,0.12891801872768122
86,North,Total,0.07047983909356331
86,North,Solids,0.1337105404869583
86,North,Liquid,0.14609937401165188
86,South,Total,0.06231021684215352
86,South,Solids,0.10984087650189334
86,South,Liquid,0.1430613952853181
86,West,Total,0.06250192885483714
86,West,Solids,0.11210457940923023
86,West,Liquid,0.14037698360058762
87,North,Total,0.06897407548210112
87,North,Solids,0.18523581486602525
87,North,Liquid,0.09776113716500319
87,South,Total,0.06123012246480092
87,South,Solids,0.15279773300097516
87,South,Liquid,0.09689604372136146
87,West,Total,0.06171488184282831
87,West,Solids,0.15597434184787895
87,West,Liquid,0.09622850101856552
88,North,Total,0.0698932376153131
88,North,Solids,0.14698092346351954
88,North,Liquid,0.12331815704513821
88,South,Total,0.06158566424048558
88,South,Solids,0.12024053845658446
88,South,Liquid,0.12198621555677545
88,West,Total,0.062152113065544544
88,West,Solids,0.12315022902105197
88,West,Liquid,0.12082916535281829
89,North,Total,0.07367222390175733
89,North,Solids,0.20105694482602754
89,North,Liquid,0.10756446933828552
89,South,Total,0.06406582184200202
89,South,Solids,0.16496473714882878
89,South,Liquid,0.10342071488813805
89,West,Total,0.06406926425796597
89,West,Solids,0.16858884669800073
89,West,Liquid,0.0994334975617998
90,North,Total,0.07397645976924064
90,North,Solids,0.13273698655427582
90,North,Liquid,0.15083004468402494
90,South,Total,0.06343035073496736
90,South,Solids,0.10903051688305616
90,South,Liquid,0.14686336474924283
90,West,Total,0.06404083189378061
90,West,Solids,0.11147886937754564
90,West,Liquid,0.1430158840017355
91,North,Total,0.06743332550946725
91,North,Solids,0.14177978681431702
91,North,Liquid,0.12381098609184124
91,South,Total,0.06066476652333517
91,South,Solids,0.1180381104131501
